candidate_id,rank,score,reasoning
CAND_0005260,15,0.737,Senior NLP Engineer with 5.2y AI/ML experience at Netflix; covers embeddings; strong retrieval/ranking stack alignment. Concerns: not open-to-work.
CAND_0061655,16,0.7338,"Machine Learning Engineer with 4.6y AI/ML experience at Krutrim; covers Elasticsearch, OpenSearch, Qdrant; strong retrieval/ranking stack alignment. Concerns: not open-to-work."
CAND_0002025,17,0.708,"Senior AI Engineer with 5.9y AI/ML experience at Apple; covers RecSys, Weaviate, OpenSearch; partial technical alignment."
CAND_0075249,18,0.6873,"Applied ML Engineer with 6.2y AI/ML experience at Zomato; covers Milvus, Pinecone; partial technical alignment."
CAND_0050876,19,0.6869,"Applied ML Engineer with 6.0y AI/ML experience at Freshworks; covers OpenSearch, Qdrant, FAISS; strong retrieval/ranking stack alignment."
CAND_0015528,20,0.6827,"Applied ML Engineer with 7.4y AI/ML experience at Krutrim; covers Weaviate, OpenSearch, FAISS; strong retrieval/ranking stack alignment. Concerns: not open-to-work."
CAND_0007009,21,0.6707,"Recommendation Systems Engineer with 7.9y AI/ML experience at Wysa; covers Weaviate, OpenSearch, embeddings; partial technical alignment."
CAND_0079387,22,0.6606,"AI Engineer with 6.9y AI/ML experience at Microsoft; covers RecSys, OpenSearch; partial technical alignment."
CAND_0029367,23,0.6563,"Senior Data Scientist with 5.7y AI/ML experience at Rephrase.ai; covers RecSys, Pinecone, FAISS; strong retrieval/ranking stack alignment."
CAND_0049896,24,0.6508,Search Engineer with 7.3y AI/ML experience at Unacademy; strong retrieval/ranking stack alignment.
CAND_0051004,25,0.6339,"Senior Data Scientist with 4.7y AI/ML experience at CRED; covers embeddings, Qdrant; strong retrieval/ranking stack alignment."
CAND_0011687,26,0.6321,"Senior NLP Engineer with 7.8y AI/ML experience at Niramai; covers Weaviate, OpenSearch, embeddings; partial technical alignment."
CAND_0041611,27,0.6313,"Staff Machine Learning Engineer with 6.4y AI/ML experience at Locobuzz; covers Weaviate, OpenSearch, Qdrant; partial technical alignment. Concerns: not open-to-work, low response rate (7%)."
CAND_0054394,28,0.6285,"Recommendation Systems Engineer with 4.1y AI/ML experience at PharmEasy; covers embeddings, Pinecone; partial technical alignment."
CAND_0096172,29,0.6279,"NLP Engineer with 5.2y AI/ML experience at Krutrim; covers Elasticsearch, OpenSearch, Qdrant; partial technical alignment. Concerns: not open-to-work."
CAND_0017960,30,0.627,Recommendation Systems Engineer with 7.7y AI/ML experience at Nykaa; covers Qdrant; partial technical alignment.
CAND_0081846,31,0.6206,"Lead AI Engineer with 6.7y AI/ML experience at Razorpay; covers RecSys, Elasticsearch, embeddings; partial technical alignment."
CAND_0068811,32,0.6145,"Applied ML Engineer with 8.0y AI/ML experience at Freshworks; covers Weaviate, OpenSearch, Pinecone; partial technical alignment."
CAND_0005538,33,0.611,Senior AI Engineer with 5.9y AI/ML experience at Adobe; partial technical alignment.
CAND_0065195,34,0.6071,"Search Engineer with 5.1y AI/ML experience at CRED; covers Elasticsearch, Qdrant; partial technical alignment."
CAND_0041610,35,0.605,"Recommendation Systems Engineer with 6.7y AI/ML experience at Zoho; covers RecSys, Elasticsearch, OpenSearch; partial technical alignment."
CAND_0000031,36,0.6049,"Recommendation Systems Engineer with 6.0y AI/ML experience at Swiggy; covers embeddings, Pinecone, FAISS; partial technical alignment."
CAND_0049978,37,0.6047,"Senior Software Engineer (ML) with 6.6y AI/ML experience at Sarvam AI; covers RecSys, Weaviate, embeddings; partial technical alignment."
CAND_0012957,38,0.6032,"Search Engineer with 4.9y AI/ML experience at Razorpay; covers embeddings, Qdrant; strong retrieval/ranking stack alignment. Concerns: not open-to-work, notice 120d."
CAND_0028793,39,0.5991,Search Engineer with 7.2y AI/ML experience at Google; covers embeddings; strong retrieval/ranking stack alignment. Concerns: notice 120d.
CAND_0041669,40,0.5985,"Recommendation Systems Engineer with 8.0y AI/ML experience at CRED; covers Weaviate, Milvus, Qdrant; partial technical alignment."
CAND_0045250,41,0.5984,"Applied ML Engineer with 6.6y AI/ML experience at Rephrase.ai; covers Milvus, embeddings, Qdrant; partial technical alignment. Concerns: not open-to-work."
CAND_0031593,42,0.595,"Search Engineer with 7.8y AI/ML experience at Genpact AI; covers RecSys, Elasticsearch, embeddings; partial technical alignment."
CAND_0030953,43,0.5931,"Search Engineer with 7.8y AI/ML experience at Nykaa; covers Weaviate, Qdrant; partial technical alignment. Concerns: not open-to-work."
CAND_0027801,44,0.5861,"NLP Engineer with 7.4y AI/ML experience at InMobi; covers Milvus, OpenSearch, FAISS; partial technical alignment. Concerns: notice 120d."
CAND_0068351,45,0.5855,"Lead AI Engineer with 6.4y AI/ML experience at Sarvam AI; covers Elasticsearch, Qdrant; partial technical alignment. Concerns: not open-to-work."
CAND_0037566,46,0.584,"Machine Learning Engineer with 6.9y AI/ML experience at LinkedIn; covers Elasticsearch, Pinecone; partial technical alignment."
CAND_0088025,47,0.5835,"Staff Machine Learning Engineer with 8.6y AI/ML experience at Yellow.ai; covers Elasticsearch, Pinecone; partial technical alignment."
CAND_0005649,48,0.5808,"Senior Data Scientist with 7.4y AI/ML experience at Sarvam AI; covers RecSys, Weaviate; partial technical alignment."
CAND_0051630,49,0.5802,"Machine Learning Engineer with 6.0y AI/ML experience at Razorpay; covers RecSys, Elasticsearch, OpenSearch; strong retrieval/ranking stack alignment. Concerns: not open-to-work."
CAND_0009024,50,0.5787,"Search Engineer with 5.2y AI/ML experience at Google; covers RecSys, OpenSearch, Qdrant; partial technical alignment."
CAND_0011432,51,0.5753,"Senior Data Scientist with 7.6y AI/ML experience at Amazon; covers Elasticsearch, OpenSearch; partial technical alignment."
CAND_0010685,52,0.5749,NLP Engineer with 6.7y AI/ML experience at Rephrase.ai; covers Elasticsearch; partial technical alignment.
CAND_0061339,53,0.569,"Search Engineer with 4.2y AI/ML experience at Rephrase.ai; covers Milvus, OpenSearch; partial technical alignment."
CAND_0083307,54,0.5612,"Search Engineer with 7.8y AI/ML experience at CRED; covers Weaviate, embeddings, Pinecone; partial technical alignment. Concerns: notice 120d."
CAND_0046525,55,0.5593,"Senior Machine Learning Engineer with 6.1y AI/ML experience at Genpact AI; covers Elasticsearch, Qdrant; partial technical alignment."
CAND_0094056,56,0.5579,"NLP Engineer with 5.9y AI/ML experience at Rephrase.ai; covers Milvus, embeddings, Pinecone; partial technical alignment. Concerns: not open-to-work, notice 120d."
CAND_0094759,57,0.5558,"Lead AI Engineer with 8.6y AI/ML experience at Meta; covers Weaviate, Qdrant, FAISS; partial technical alignment. Concerns: not open-to-work, low response rate (11%)."
CAND_0044855,58,0.5524,"Senior Data Scientist with 6.6y AI/ML experience at Flipkart; covers OpenSearch, Qdrant, embeddings; partial technical alignment. Concerns: not open-to-work."
CAND_0008239,59,0.5517,"AI Engineer with 4.0y AI/ML experience at Apple; covers RecSys, Weaviate, Elasticsearch; strong retrieval/ranking stack alignment."
CAND_0078492,60,0.5434,"Recommendation Systems Engineer with 5.1y AI/ML experience at Verloop.io; covers RecSys, Elasticsearch, Qdrant; partial technical alignment."
CAND_0027691,61,0.532,"NLP Engineer with 6.5y AI/ML experience at Haptik; covers RecSys, Weaviate, embeddings; partial technical alignment."
CAND_0065878,62,0.5222,Senior Data Scientist with 7.8y AI/ML experience at Niramai; covers RecSys; partial technical alignment.
CAND_0007412,63,0.5114,"Applied ML Engineer with 7.4y AI/ML experience at Zoho; covers RecSys, Milvus, Pinecone; partial technical alignment. Concerns: notice 120d."
CAND_0079284,64,0.5111,"Machine Learning Engineer with 4.9y AI/ML experience at Google; covers RecSys, Elasticsearch, Qdrant; partial technical alignment. Concerns: not open-to-work."
CAND_0093547,65,0.5026,"Senior Machine Learning Engineer with 2.9y AI/ML experience at PhonePe; covers Weaviate, Milvus, FAISS; partial technical alignment. Concerns: not open-to-work."
CAND_0098846,66,0.4985,"AI Engineer with 7.6y AI/ML experience at upGrad; covers RecSys, Qdrant; partial technical alignment."
CAND_0077285,67,0.4907,"Recommendation Systems Engineer with 5.5y AI/ML experience at Nykaa; covers Milvus, embeddings, Pinecone; partial technical alignment."
CAND_0015578,68,0.488,"AI Engineer with 5.4y AI/ML experience at Zoho; covers embeddings, Pinecone, FAISS; strong retrieval/ranking stack alignment."
CAND_0087630,69,0.4765,"AI Engineer with 7.2y AI/ML experience at Vedantu; covers Elasticsearch, OpenSearch, embeddings; partial technical alignment. Concerns: not open-to-work."
CAND_0060072,70,0.4756,"Staff Machine Learning Engineer with 5.7y AI/ML experience at Amazon; covers RecSys, Milvus, Pinecone; partial technical alignment. Concerns: not open-to-work, low response rate (10%)."
CAND_0020877,71,0.4739,"Applied ML Engineer with 5.1y AI/ML experience at CRED; covers Weaviate, Elasticsearch, OpenSearch; partial technical alignment. Concerns: not open-to-work."
CAND_0061265,72,0.4732,"Recommendation Systems Engineer with 6.6y AI/ML experience at Zoho; covers Milvus, embeddings, Qdrant; partial technical alignment. Concerns: notice 120d."
CAND_0084819,73,0.4707,"Search Engineer with 4.5y AI/ML experience at Dream11; covers RecSys, Weaviate, OpenSearch; partial technical alignment. Concerns: notice 120d."
CAND_0011162,74,0.4646,"Recommendation Systems Engineer with 5.8y AI/ML experience at upGrad; covers Weaviate, Milvus, OpenSearch; partial technical alignment."
CAND_0070202,75,0.4627,"Machine Learning Engineer with 5.1y AI/ML experience at BYJU'S; covers embeddings, Qdrant; partial technical alignment. Concerns: not open-to-work."
CAND_0025640,76,0.4625,"AI Research Engineer with 5.6y AI/ML experience at HCL; covers RecSys, Elasticsearch, OpenSearch; partial technical alignment."
CAND_0020708,77,0.4623,"Search Engineer with 4.2y AI/ML experience at PolicyBazaar; covers Elasticsearch, Milvus; strong retrieval/ranking stack alignment."
CAND_0030031,78,0.4606,AI Engineer with 5.7y AI/ML experience at Microsoft; covers Milvus; partial technical alignment. Concerns: not open-to-work.
CAND_0037944,79,0.4595,"Senior Data Scientist with 4.9y AI/ML experience at Vedantu; covers OpenSearch, embeddings; partial technical alignment."
CAND_0024466,80,0.4579,"Search Engineer with 5.2y AI/ML experience at PharmEasy; covers RecSys, Pinecone; partial technical alignment. Concerns: notice 120d."
CAND_0069905,81,0.4569,"Applied ML Engineer with 6.6y AI/ML experience at Sarvam AI; covers RecSys, Weaviate; partial technical alignment."
CAND_0070398,82,0.453,"Machine Learning Engineer with 7.2y AI/ML experience at Genpact AI; covers RecSys, embeddings, FAISS; partial technical alignment. Concerns: notice 120d."
CAND_0006418,83,0.4517,"Machine Learning Engineer with 5.7y AI/ML experience at Verloop.io; covers Weaviate, Elasticsearch, OpenSearch; partial technical alignment."
CAND_0014440,84,0.4504,"Recommendation Systems Engineer with 6.4y AI/ML experience at CRED; covers Elasticsearch, Milvus, Qdrant; partial technical alignment."
CAND_0046064,85,0.4493,"Senior NLP Engineer with 8.9y AI/ML experience at Salesforce; covers Elasticsearch, OpenSearch, Pinecone; partial technical alignment."
CAND_0049538,86,0.447,"Applied ML Engineer with 5.8y AI/ML experience at Saarthi.ai; covers RecSys, Elasticsearch, OpenSearch; partial technical alignment. Concerns: not open-to-work."
CAND_0010257,87,0.4407,"Senior Data Scientist with 6.5y AI/ML experience at Google; covers RecSys, Milvus, OpenSearch; partial technical alignment. Concerns: notice 120d."
CAND_0040178,88,0.44,"ML Engineer with 5.0y AI/ML experience at Meesho; covers Weaviate, OpenSearch; partial technical alignment."
CAND_0086151,89,0.4334,"Recommendation Systems Engineer with 7.7y AI/ML experience at Wysa; covers RecSys, Elasticsearch, OpenSearch; partial technical alignment. Concerns: notice 120d."
CAND_0074225,90,0.427,"Machine Learning Engineer with 4.3y AI/ML experience at Unacademy; covers RecSys, Elasticsearch, Milvus; partial technical alignment. Concerns: notice 120d."
CAND_0064270,91,0.4269,"Applied ML Engineer with 4.2y AI/ML experience at Verloop.io; covers Elasticsearch, OpenSearch, embeddings; partial technical alignment. Concerns: not open-to-work."
CAND_0071974,92,0.4239,"Senior AI Engineer with 7.8y AI/ML experience at Netflix; covers Weaviate, Elasticsearch, Qdrant; partial technical alignment."
CAND_0075574,93,0.411,"Machine Learning Engineer with 5.7y AI/ML experience at Haptik; covers RecSys, Weaviate, Elasticsearch; partial technical alignment."
CAND_0060054,94,0.4106,"AI Engineer with 6.4y AI/ML experience at Mad Street Den; covers RecSys, Weaviate, Elasticsearch; partial technical alignment. Concerns: not open-to-work."
CAND_0076163,95,0.4103,"NLP Engineer with 6.9y AI/ML experience at Ola; covers Weaviate, Elasticsearch, OpenSearch; partial technical alignment."
CAND_0092278,96,0.4069,"Senior NLP Engineer with 6.8y AI/ML experience at Microsoft; covers Elasticsearch, Milvus; partial technical alignment. Concerns: not open-to-work, low response rate (7%)."
CAND_0008295,97,0.4036,AI Research Engineer with 6.5y AI/ML experience at Razorpay; covers Weaviate; partial technical alignment.
CAND_0053695,98,0.4033,"Recommendation Systems Engineer with 5.8y AI/ML experience at Meesho; covers RecSys, embeddings, Pinecone; partial technical alignment."
CAND_0076251,99,0.403,"Search Engineer with 7.6y AI/ML experience at Haptik; covers Weaviate, Elasticsearch; partial technical alignment."
CAND_0024620,100,0.4,"AI Engineer with 5.9y AI/ML experience at PharmEasy; covers RecSys, Elasticsearch; partial technical alignment."
